datetime,symbol,open,high,low,close,volume
2026-02-18 15:00:00,CBOT:YM1!,49819.0,49918.0,49813.0,49905.0,4832.0
2026-02-18 15:15:00,CBOT:YM1!,49906.0,49967.0,49869.0,49882.0,2934.0
2026-02-18 15:30:00,CBOT:YM1!,49882.0,49952.0,49860.0,49933.0,2358.0
2026-02-18 15:45:00,CBOT:YM1!,49935.0,49947.0,49899.0,49923.0,1835.0
2026-02-18 16:00:00,CBOT:YM1!,49924.0,49954.0,49879.0,49899.0,1577.0
2026-02-18 16:15:00,CBOT:YM1!,49907.0,49922.0,49854.0,49881.0,1299.0
2026-02-18 16:30:00,CBOT:YM1!,49879.0,49901.0,49860.0,49863.0,1281.0
2026-02-18 16:45:00,CBOT:YM1!,49862.0,49887.0,49843.0,49860.0,1110.0
2026-02-18 16:45:00,CBOT:YM1!,49862.0,49887.0,49849.0,49885.0,579.0
2026-02-18 17:00:00,CBOT:YM1!,49864.0,49951.0,49844.0,49911.0,1634.0
2026-02-18 17:15:00,CBOT:YM1!,49911.0,49923.0,49895.0,49907.0,771.0
2026-02-18 17:30:00,CBOT:YM1!,49906.0,49920.0,49870.0,49876.0,833.0
2026-02-18 17:45:00,CBOT:YM1!,49875.0,49918.0,49867.0,49898.0,786.0
2026-02-18 18:00:00,CBOT:YM1!,49897.0,49930.0,49888.0,49909.0,1124.0
2026-02-18 18:15:00,CBOT:YM1!,49907.0,49928.0,49807.0,49838.0,1761.0
2026-02-18 18:30:00,CBOT:YM1!,49839.0,49864.0,49762.0,49797.0,1873.0
2026-02-18 18:45:00,CBOT:YM1!,49797.0,49827.0,49708.0,49763.0,2415.0
2026-02-18 19:00:00,CBOT:YM1!,49757.0,49805.0,49710.0,49714.0,1658.0
2026-02-18 19:15:00,CBOT:YM1!,49712.0,49761.0,49685.0,49741.0,1862.0
2026-02-18 19:30:00,CBOT:YM1!,49740.0,49754.0,49641.0,49656.0,2571.0
2026-02-18 19:45:00,CBOT:YM1!,49657.0,49701.0,49596.0,49644.0,2429.0
2026-02-18 20:00:00,CBOT:YM1!,49646.0,49689.0,49607.0,49628.0,1831.0
2026-02-18 20:15:00,CBOT:YM1!,49627.0,49644.0,49592.0,49609.0,1595.0
2026-02-18 20:30:00,CBOT:YM1!,49608.0,49715.0,49604.0,49695.0,2229.0
2026-02-18 20:45:00,CBOT:YM1!,49697.0,49790.0,49678.0,49727.0,5128.0
2026-02-18 21:00:00,CBOT:YM1!,49727.0,49735.0,49703.0,49729.0,1427.0
